word,pos,pos2
a,Article,Article.Adverb.Letter.To.Noun.Preposition.Adjective
aa,Name,Name.Noun
aaa,Name,Name.Noun
aah,Interjection,Interjection
aahed,Verb,Verb
aahing,Verb,Verb
aahs,Noun,Noun
aal,Adjective,Adjective
aardvark,Noun,Noun.Verb.Name
aargh,Interjection,Interjection
aaron,Name,Name
aarrgh,Verb,Verb
aarrghh,Noun,Noun
aas,Noun,Noun.Name
ab,Unclassified,Unclassified.Noun.Verb
aba,Noun,Noun
abaca,Noun,Noun
aback,Adverb,Adverb
abacus,Noun,Noun.Name
abacuses,Noun,Noun
abaddon,Noun,Noun.Name
abaft,Verb,Verb.Noun
abalone,Verb,Verb.Noun.Name
abalones,Noun,Noun
abandon,Verb,Verb.Noun
abandoned,Verb,Verb.Adjective
abandoner,Noun,Noun
abandoning,Verb,Verb
abandonment,Noun,Noun
abandons,Verb,Verb
abase,Verb,Verb
abastard,Noun,Noun
abate,Verb,Verb.Noun
abated,Verb,Verb
abatement,Noun,Noun
abates,Verb,Verb
abating,Verb,Verb
abattoir,Noun,Noun
abay,Name,Name
abb,Name,Name.Noun
abba,Name,Name.Noun
abbas,Name,Name
abbe,Name,Name
abbess,Noun,Noun.Name
abbesses,Noun,Noun
abbey,Noun,Noun.Name
abbot,Name,Name.Noun
abbott,Name,Name.Noun
abbreviate,Verb,Verb
abbreviated,Adjective,Adjective.Verb
abbreviation,Noun,Noun
abbreviations,Noun,Noun
abby,Name,Name
abc,Name,Name.Noun
abd,Noun,Noun
abdicate,Verb,Verb
abdicated,Verb,Verb
abdicates,Noun,Noun
abdicating,Verb,Verb
abdication,Noun,Noun
abdomen,Noun,Noun
abdomens,Noun,Noun
abdominal,Adjective,Adjective
abdominals,Noun,Noun
abduct,Verb,Verb.Noun
abducted,Verb,Verb.Adjective.Name
abductee,Noun,Noun
abductees,Noun,Noun
abducting,Verb,Verb
abduction,Noun,Noun
abductions,Noun,Noun
abductor,Noun,Noun.Name
abductors,Noun,Noun
abducts,Verb,Verb
abeam,Noun,Noun.Verb
abed,Adverb,Adverb
abel,Name,Name.Verb.Noun
abele,Noun,Noun
abend,Noun,Noun.Name
aberdeen,Name,Name
abernethy,Name,Name
aberrant,Adjective,Adjective.Noun
aberration,Noun,Noun
aberrations,Noun,Noun
abet,Verb,Verb
abetted,Verb,Verb
abetting,Verb,Verb.Name
abettor,Noun,Noun
abeyance,Noun,Noun
abhor,Verb,Verb
abhorred,Verb,Verb
abhorrent,Adjective,Adjective
abhors,Verb,Verb
abide,Verb,Verb
abided,Verb,Verb
abiders,Noun,Noun
abides,Verb,Verb
abiding,Adjective,Adjective.Verb
abigail,Name,Name.Verb.Noun
abilene,Name,Name.Noun
abilities,Noun,Noun
ability,Noun,Noun
abiogenist,Noun,Noun
abit,Noun,Noun
abject,Adjective,Adjective
abjectly,Adverb,Adverb
abjure,Verb,Verb
ablate,Verb,Verb
ablated,Verb,Verb
ablation,Noun,Noun
ablaze,Adjective,Adjective
able,Adjective,Adjective
abler,Adjective,Adjective
ablest,Adjective,Adjective
abloom,Verb,Verb.Noun
ablution,Noun,Noun
ablutions,Noun,Noun
ably,Adverb,Adverb
abner,Name,Name.Noun
abnormal,Adjective,Adjective
abnormalities,Noun,Noun
abnormality,Noun,Noun
abnormally,Adverb,Adverb
abnormity,Noun,Noun
abo,Noun,Noun
aboard,Adverb,Adverb.Preposition
abode,Noun,Noun
abogado,Noun,Noun
abolish,Verb,Verb
abolished,Verb,Verb
abolishes,Verb,Verb
abolishing,Verb,Verb
abolition,Noun,Noun
abolitionism,Noun,Noun
abolitionist,Noun,Noun
abolitionists,Noun,Noun
abomasum,Noun,Noun
abominable,Adjective,Adjective
abominably,Adverb,Adverb
abominate,Verb,Verb.Noun.Adjective
abomination,Noun,Noun
